PC=0000000000000058, T_valid=0, T=31, Told=31, rega=56, regb=31
PC=0000000000000070, T_valid=1, T=35, Told=26, rega=31, regb=50
PC=0000000000000074, T_valid=1, T=53, Told=48, rega=48, regb=47
PC=0000000000000078, T_valid=1, T=54, Told=57, rega=31, regb=53
PC=000000000000014c, T_valid=1, T=35, Told=41, rega=41, regb=50
PC=0000000000000150, T_valid=1, T=53, Told=56, rega=35, regb=51
PC=0000000000000154, T_valid=0, T=31, Told=31, rega=31, regb=57
PC=0000000000000158, T_valid=1, T=54, Told=53, rega=53, regb=31
PC=000000000000015c, T_valid=1, T= 2, Told=54, rega=54, regb=31
PC=0000000000000170, T_valid=1, T= 0, Told= 2, rega= 2, regb=31
PC=0000000000000174, T_valid=1, T=16, Told= 0, rega= 0, regb=31
PC=0000000000000058, T_valid=0, T=31, Told=31, rega=53, regb=31
PC=0000000000000070, T_valid=1, T=54, Told=26, rega=31, regb=50
PC=0000000000000074, T_valid=1, T= 2, Told=48, rega=48, regb=47
PC=0000000000000078, T_valid=1, T= 0, Told=57, rega=31, regb= 2
PC=000000000000007c, T_valid=1, T=16, Told=47, rega=47, regb=50
PC=0000000000000080, T_valid=1, T= 4, Told= 2, rega= 2, regb=16
PC=0000000000000084, T_valid=1, T=21, Told= 0, rega=31, regb= 4
PC=0000000000000088, T_valid=0, T=31, Told=31, rega=53, regb=31
PC=0000000000000134, T_valid=1, T=16, Told=50, rega=50, regb=50
PC=0000000000000138, T_valid=0, T=31, Told=31, rega=31, regb= 0
PC=000000000000007c, T_valid=1, T= 4, Told=47, rega=47, regb=16
PC=0000000000000080, T_valid=1, T=21, Told= 2, rega= 2, regb= 4
PC=0000000000000084, T_valid=1, T=44, Told= 0, rega=31, regb=21
PC=0000000000000088, T_valid=0, T=31, Told=31, rega=53, regb=31
PC=0000000000000070, T_valid=1, T=37, Told=54, rega=31, regb=16
PC=0000000000000074, T_valid=1, T=63, Told=21, rega=21, regb= 4
PC=0000000000000078, T_valid=1, T= 1, Told=44, rega=31, regb=63
PC=000000000000014c, T_valid=1, T=37, Told=35, rega=35, regb=16
PC=0000000000000150, T_valid=1, T=63, Told=53, rega=37, regb=51
PC=0000000000000154, T_valid=0, T=31, Told=31, rega=31, regb=44
PC=0000000000000158, T_valid=1, T= 1, Told=63, rega=63, regb=31
PC=000000000000015c, T_valid=1, T=20, Told= 1, rega= 1, regb=31
PC=0000000000000170, T_valid=1, T=22, Told=20, rega=20, regb=31
PC=0000000000000174, T_valid=1, T=32, Told=22, rega=22, regb=31
PC=0000000000000088, T_valid=0, T=31, Told=31, rega=63, regb=31
PC=0000000000000070, T_valid=1, T= 1, Told=54, rega=31, regb=16
PC=0000000000000074, T_valid=1, T=20, Told=21, rega=21, regb= 4
PC=0000000000000078, T_valid=1, T=22, Told=44, rega=31, regb=20
PC=000000000000007c, T_valid=1, T=32, Told= 4, rega= 4, regb=16
PC=0000000000000080, T_valid=1, T=42, Told=20, rega=20, regb=32
PC=0000000000000084, T_valid=1, T=38, Told=22, rega=31, regb=42
PC=0000000000000088, T_valid=0, T=31, Told=31, rega=63, regb=31
PC=0000000000000134, T_valid=1, T=32, Told=16, rega=16, regb=16
PC=0000000000000138, T_valid=0, T=31, Told=31, rega=31, regb=22
PC=000000000000007c, T_valid=1, T=42, Told= 4, rega= 4, regb=32
PC=0000000000000080, T_valid=1, T=38, Told=20, rega=20, regb=42
